bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"26.19683702621768,44.93572732805217,26.21558187133286,44.94690695793571",uuuu,85633745,,9c89742ee5091c23957ef8d90e9ad235,,681cd5768f7a9bfb84b2af5a0fcc554f,44.940893,26.208082,101834569,uuuu,RO,RO,1514499734,44.942216,26.209786,101834569,Albeşti-Muru,85687661,101/834/569/101834569.geojson,locality,85687661,quattroshapes,,,RO
"26.12500233831793,44.95623297873556,26.14953043900749,44.96693488182677",uuuu,85633745,,cee8cd4831e5bc6a32bc45ffe36df3a6,,b4b5fa3efead302f4aa16c72262b975a,44.961801,26.139580,101834571,uuuu,RO,RO,1514500106,44.961190,26.138558,101834571,Rachieri,85687661,101/834/571/101834571.geojson,locality,85687661,quattroshapes,,,RO
"26.14948456868677,44.94114000995233,26.18926440404317,44.97281774871635",uuuu,85633745,,9fb946e821869cd5eba7030a4941a9f2,,144258b445049ebff3eea10cbf21d0ff,44.956108,26.166585,101834573,uuuu,RO,RO,1514500232,44.946764,26.163349,101834573,Valea Călugărească,85687661,101/834/573/101834573.geojson,locality,85687661,quattroshapes,,,RO
"25.77303165562438,45.00024838752972,25.79237387510057,45.02654530113892",uuuu,85633745,,3476940b45452fd24f6854ce955a5a9f,,09b116086f50271260e6a8d84f89a0fb,45.015615,25.781679,101834575,uuuu,RO,RO,1505338228,45.014104,25.782470,101834575,Cătina,85687661,101/834/575/101834575.geojson,locality,85687661,quattroshapes,,,RO
"26.00918176601846,45.00344829861695,26.04706303233513,45.03290227976862",uuuu,85633745,,001a2bcfb598b7dd0572d7f5495514f7,,76bc9062f993f7b5d82c79dd036cf3a3,45.017343,26.028277,101834579,uuuu,RO,RO,1505338228,45.015824,26.029568,101834579,Boldeşti-Scăeni,85687661,101/834/579/101834579.geojson,locality,85687661,quattroshapes,,,RO
"25.87613024408995,45.01633692597147,25.90232526434897,45.03922406289882",uuuu,85633745,,b21f47dd45927b0557c22438dd4af9a0,,ffe72356c29368d1f23d0cde43cc522e,45.029905,25.892774,101834583,uuuu,RO,RO,1514499995,45.035207,25.897293,101834583,Liliesti,85687661,101/834/583/101834583.geojson,locality,85687661,quattroshapes,,,RO
"25.77640627289549,45.01534155741768,25.81741900699677,45.04776543092453",uuuu,85633745,,d301cf6cb71a72045a4db37ba6f2bf14,,be55c1573e484cf498fbedc6ad0149df,45.030687,25.796073,101834581,uuuu,RO,RO,1505338228,45.027531,25.794063,101834581,Floreşti,85687661,101/834/581/101834581.geojson,locality,85687661,quattroshapes,,,RO
"25.90164071526794,45.02603317047891,25.92412628904793,45.04401176073918",uuuu,85633745,,8a2e166be727a956e2d47f8cf50c526d,,bd1209b57965d18a5058ebc4c056904a,45.034593,25.911578,101834585,uuuu,RO,RO,1514500200,45.034117,25.910471,101834585,Tintea,85687661,101/834/585/101834585.geojson,locality,85687661,quattroshapes,,,RO
"25.8384123058193,45.02470789153898,25.89359467372111,45.04610746030698",uuuu,85633745,,b840223a26e02ce03fc49359c675ba28,,4da74554c00d21626971a2e0784f5c0a,45.035490,25.863590,101834587,uuuu,RO,RO,1505338228,45.034223,25.870907,101834587,Băicoi,85687661,101/834/587/101834587.geojson,locality,85687661,quattroshapes,,,RO
"26.42713817289325,45.03382455518624,26.4469548200064,45.0490141325235",uuuu,85633745,,9dc9456165a85a3a1ddcdeaeb87122a9,,198cb1a5b61d57a9ea82b3bb3eb39ce0,45.041031,26.437191,101834589,uuuu,RO,RO,1514499958,45.040436,26.438693,101834589,Gura Vadului,85687661,101/834/589/101834589.geojson,locality,85687661,quattroshapes,,,RO
"26.01068594025128,45.02773709472274,26.03905343847197,45.04888781338701",uuuu,85633745,,f45041e07ec07c036ea1abacf146737f,,ba052ab2e248b0e4a9fe4289ce7c3824,45.038375,26.023904,101834591,uuuu,RO,RO,1514500152,45.035053,26.030029,101834591,Sipotu,85687661,101/834/591/101834591.geojson,locality,85687661,quattroshapes,,,RO
"25.76136509097137,45.03127123566668,25.77884589649909,45.05166490558662",uuuu,85633745,,0269448fee98e570b99f5f4ee24b9a89,,9edf7d147686abedcd67e524574b35d7,45.043969,25.770953,101834593,uuuu,RO,RO,1514500001,45.044763,25.772693,101834593,Lunca Prahovei,85687661,101/834/593/101834593.geojson,locality,85687661,quattroshapes,,,RO
"25.73831750029382,45.02362286778117,25.76160095389434,45.06311543489835",uuuu,85633745,,b522674645b7298abd5a8366a13acce9,,e4b037e0f9739062e92691a82e4c90c4,45.042234,25.752370,101834597,uuuu,RO,RO,1514500037,45.043229,25.753164,101834597,Măgureni,85687661,101/834/597/101834597.geojson,locality,85687661,quattroshapes,,,RO
"25.87391183399893,45.03834880572634,25.90205599956164,45.05344615892182",uuuu,85633745,,7d9af6248426c4393b88f551fe8d4f67,,c0055532751b19e4eca118962a99f2d1,45.045831,25.886727,101834599,uuuu,RO,RO,1514499920,45.046326,25.886514,101834599,Dâmbu,85687661,101/834/599/101834599.geojson,locality,85687661,quattroshapes,,,RO
"26.43609495257562,45.04246067135352,26.45667072890228,45.066820104459",uuuu,85633745,,195e607e5e42114204be6ee790b9a4a9,,fdfe4af0161f2aac3b922a9c51623233,45.054245,26.446836,101834601,uuuu,RO,RO,1505338229,45.054737,26.446992,101834601,Perşunari,85687661,101/834/601/101834601.geojson,locality,85687661,quattroshapes,,,RO
"26.00171613546206,45.04484044447486,26.04168081589035,45.07419638880413",uuuu,85633745,,c54a3c3894f1d4d4e8b03adc9cccc3b4,,c2e2da1f2d4fc7ce4f58f5a7d6454181,45.060888,26.020347,101834603,uuuu,RO,RO,1514499995,45.057149,26.019717,101834603,Lipăneşti,85687661,101/834/603/101834603.geojson,locality,85687661,quattroshapes,,,RO
