bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"0,0,0,0",uuuu,0,,5e21c399a61b3cd7a925e23196e0b093,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902019,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2121800,-1,538/902/019/538902019.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,edbb10cf241f1622939d1ba68d3add1f,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538900255,uuuu,RO,RO,1474579688,0.000000,0.000000,0,5319119,-1,538/900/255/538900255.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,6e9a58eff476b5b5248d7115ce257703,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902011,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2121601,-1,538/902/011/538902011.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,79dfc03e27b6791dfba5e26a4a18071b,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902023,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2121900,-1,538/902/023/538902023.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,50d07928188a8f4cf34791002bf360e8,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902013,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2121602,-1,538/902/013/538902013.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,95ecbf5939f83a28d1983dac4a6dcf1b,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902021,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2121801,-1,538/902/021/538902021.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,fdac3f9d197f0c65d2fb38350b4ec981,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902029,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2122200,-1,538/902/029/538902029.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,91f79d3b8776a483efb062a9208802df,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902033,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2122202,-1,538/902/033/538902033.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,b67ac55e634c7bfa72a0b398f6388c56,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902037,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2122400,-1,538/902/037/538902037.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,b9554fed7c333e0d0a2d39ff1b6e5199,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902039,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2122401,-1,538/902/039/538902039.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,65bbf30d311fb55c0db4aa9fd3342b71,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902041,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2122500,-1,538/902/041/538902041.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,a739866020f43bd6f8b0bd156121253a,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902043,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2122501,-1,538/902/043/538902043.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,b02f4c8475bee4668d314394a5b31ea8,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902047,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2129101,-1,538/902/047/538902047.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,85633745,,a7cfbc918c969136d51a4b9b0bfbf9cb,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902049,uuuu,RO,RO,1474579693,0.000000,0.000000,101792471,2129102,101792471,538/902/049/538902049.geojson,postalcode,85687599,geoplanet,,,RO
"0,0,0,0",uuuu,0,,fe2f28085443e7e4cbc94450db4a2a7a,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902051,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2129103,-1,538/902/051/538902051.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,b6a270a45116926ce22996aac3bff7b8,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902053,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2129104,-1,538/902/053/538902053.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,fc388fbf7fac4343d515758ec57ebec7,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902055,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2129105,-1,538/902/055/538902055.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,c91741ed4c599b7c039c22a037559316,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902057,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2129106,-1,538/902/057/538902057.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,4cecb9338323374ced48fb74ed33976a,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902059,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2129107,-1,538/902/059/538902059.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,ca2c3ab533f4a0aa7b0c480f7fd8b99b,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902061,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2129108,-1,538/902/061/538902061.geojson,postalcode,0,geoplanet,,,RO
"0,0,0,0",uuuu,0,,2326718ac146650d71c3d3825e3fe5cd,,83e15ca7275cf883624bb6fa862e15fa,0.000000,0.000000,538902067,uuuu,RO,RO,1474579693,0.000000,0.000000,0,2129110,-1,538/902/067/538902067.geojson,postalcode,0,geoplanet,,,RO
