bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"27.22607799999977,45.39023549999985,28.21394899999976,46.16309449999986",uuuu,85633745,,db8cb002faa07a10158aac1e234c5e43,,b433daab8820a39280ba409b560b6650,45.792597,27.756072,85687709,uuuu,RO,RO,1536617240,45.767069,27.765431,0,Galaţi,85633745,856/877/09/85687709.geojson,region,85687709,quattroshapes,,,RO
"23.95904249999978,46.07634349999983,25.31845299999978,47.13651149999984",uuuu,85633745,,18851e09266568f761e2bb43008516ec,,42401d1cf45c58e5ec4eadce197ba99c,46.609214,24.695537,85687719,uuuu,RO,RO,1536617241,46.615520,24.705500,0,Mureş,85633745,856/877/19/85687719.geojson,region,85687719,quattroshapes,,,RO
"25.45142249999978,44.69251899999986,26.60995999999977,45.52211399999984",uuuu,85633745,,07c8fe31b8dd26d9a0476386553eacf3,,36de80af18e124af0473fd151137e1f8,45.114336,26.014241,85687661,uuuu,RO,RO,1536617239,45.096132,26.005761,0,Prahova,85633745,856/876/61/85687661.geojson,region,85687661,quattroshapes,,,RO
"22.63729349999977,46.39669799999984,24.22606549999978,47.38019899999983",uuuu,85633745,,a801c99e6793f8ae3ada7c0ae74a2da4,,c9423bce0cda77dff263cfdaa59be5af,46.811941,23.534348,85687727,uuuu,RO,RO,1536617241,46.815183,23.744517,0,Cluj,85633745,856/877/27/85687727.geojson,region,85687727,quattroshapes,,,RO
"22.33598499999976,45.25127199999986,23.60166849999979,46.35266599999986",uuuu,85633745,,1f1f9938ab582a10492e2bcd455f885b,,0e0f2620f6a88cc95bd17fc4c2f34d3b,45.754151,22.937714,85687671,uuuu,RO,RO,1536617239,45.736973,22.937539,0,Hunedoara,85633745,856/876/71/85687671.geojson,region,85687671,quattroshapes,,,RO
"26.09847299999979,47.43822399999985,27.38742399999978,48.26515199999986",uuuu,85633745,,372962b8503cd7bd415652b09dac0e85,,9eec3ddee542072890f051301296e30b,47.858846,26.761824,85687777,uuuu,RO,RO,1536617242,47.875264,26.770780,0,Botoşani,85633745,856/877/77/85687777.geojson,region,85687777,quattroshapes,,,RO
"21.42761999999979,46.38499799999985,22.81906,47.59981299999983",uuuu,85633745,,9ecb0adaaeb1be463a027f3a95760b04,,5ad738fbe28b7af7505a01c831b99f16,46.942006,22.209385,85687737,uuuu,RO,RO,1536617241,47.003809,22.162574,0,Bihor,85633745,856/877/37/85687737.geojson,region,85687737,quattroshapes,,,RO
"27.18831849999978,46.00328149999984,28.26073649999978,46.99168449999985",uuuu,85633745,,8eb5b021d14793e43bb9bd4d6201e20c,,91263d70b5b9773da40d6e019fd3ec8f,46.526928,27.767911,85687743,uuuu,RO,RO,1536617241,46.492615,27.778080,0,Vaslui,85633745,856/877/43/85687743.geojson,region,85687743,quattroshapes,,,RO
"23.58884099999977,45.49336899999986,24.96544599999978,46.28404399999985",uuuu,85633745,,afa904f8eb42d2f7d67530e5a6aebd80,,246743f933c9e8edb0919137483e37f0,45.858753,24.243675,85687687,uuuu,RO,RO,1536617240,45.880647,24.311196,0,Sibiu,85633745,856/876/87/85687687.geojson,region,85687687,quattroshapes,,,RO
"21.35305599999978,44.58530549999986,22.71282249999979,45.66888399999985",uuuu,85633745,,7e5b7b64ec587ca3d7b8964ef7475aa1,,331b0590264a44bc6dd0c4ab2b8599b5,45.150035,22.040991,85687627,uuuu,RO,RO,1536617238,45.135370,22.041360,0,Caraş-Severin,85633745,856/876/27/85687627.geojson,region,85687627,quattroshapes,,,RO
"22.67246149999977,45.45551699999984,24.25163699999979,46.56900749999986",uuuu,85633745,,a42286fa04f7ef0432e40e6e365ed25a,,5d9864882a8c2979e1f5650ba2a02185,46.171989,23.485522,85687697,uuuu,RO,RO,1536617240,46.142299,23.497489,0,Alba,85633745,856/876/97/85687697.geojson,region,85687697,quattroshapes,,,RO
"23.91856999999979,46.74650749999984,25.09355549999978,47.60835199999985",uuuu,85633745,,7638960e7caeb8973651cdda3a1b8dad,,78d25c63952b1c3eb5a5ed6eb2a0aacb,47.237025,24.520423,85687753,uuuu,RO,RO,1536617242,47.242454,24.472881,0,Bistriţa-Năsaud,85633745,856/877/53/85687753.geojson,region,85687753,quattroshapes,,,RO
"26.49325599999977,46.81938499999984,28.12635799999978,47.59170949999984",uuuu,85633745,,bb7241874a8adaa05c3c38a81467535e,,b82debbcca70a60308f6696316391283,47.199060,27.282827,85687769,uuuu,RO,RO,1536617242,47.261265,27.338288,0,Iaşi,85633745,856/877/69/85687769.geojson,region,85687769,quattroshapes,,,RO
